Mon Oct 09 2023 22:22:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 22:22:59 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 22:23:22 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 22:23:22 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 22:23:22 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 22:23:22 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 22:23:22 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Mon Oct 09 2023 22:24:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Mon Oct 09 2023 22:24:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Mon Oct 09 2023 22:24:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Mon Oct 09 2023 22:24:52 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Mon Oct 09 2023 22:24:52 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | TypeError: Cannot read properties of undefined (reading 'then'), failed on convert to HTML
Tue Oct 10 2023 09:58:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 09:58:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 09:58:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 09:58:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 09:58:29 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 09:59:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 09:59:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 09:59:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 09:59:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 09:59:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 10:09:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 10:09:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 10:09:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 10:09:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 10:09:18 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 10:11:25 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 10:11:25 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 10:11:25 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 10:11:25 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 10:11:25 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 10:12:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 10:12:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 10:12:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 10:12:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 10:12:00 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 10:14:42 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 10:14:42 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 10:14:43 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Generating HTML file: [object Object]
Tue Oct 10 2023 10:14:43 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Generating HTML file: [object Object]
Tue Oct 10 2023 10:14:43 GMT+0100 (British Summer Time) | Blog Upload | [ERROR] | Generating HTML file: [object Object]
Tue Oct 10 2023 10:14:43 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 10:14:43 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 10:14:43 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 10:20:21 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 10:20:21 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 10:20:21 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 10:20:21 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 10:20:21 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 14:15:01 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
Tue Oct 10 2023 14:15:01 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:15:01 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Saved HTML file
Tue Oct 10 2023 14:15:01 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Removed .docx file from local storage
Tue Oct 10 2023 14:15:01 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Sent success html doc to 
Tue Oct 10 2023 14:16:50 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:24:43 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | Called convert HTML function
Tue Oct 10 2023 14:25:26 GMT+0100 (British Summer Time) | Blog Upload | [SUCCESS] | called function to create html file
